Strategy Objective,Code,Program,Activity,Budget,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress,
,6.1,International Merchandise Trade Statistics (IMTS),MFDB,"100,000",6.1.1 Produce IMTS report - 2025,1,"Collect, compile and analyse monthly IMTS Data",Jan - Dec ,i) Natural Disaster,Complete,
,,,,,6.1.2. Produce QSI Monthly Trade tables,11,,Quarterly,ii) Government net work ,Up to date,
,,,,,6.1.3. Produce National Accounts Trade data set,1,,June,iii) Back up from internal server,In Progress,
,,,,,6.1.4 Produce monthly Construction material data,4,,Quartery,iv) Transfer of skills for  sustainability ,Up to date,
,,,,,6.1.5 Additional table on NCD goods,11,,Monthly,,Up to date,
,6.2,Internatinal Visitors Arrival  Statistics (IVA),MFDB,"100,000",6.2.1. Produce monthly IVA Statistics,15,"Collect, compile and analyse monthly IVA Data",Monthly,i) Natural Disaster,Up to date,
,,,,,6.2.2 Improve coverage - Luganville Data,1,,30-Jun,ii) Government net work,Not Yet Started,
,,,,,6.2.3 IVA Automate Data Processing in  R - RAP,1,Automate IVA Data Processing in R,30-Sep,iii) Delay in response from Immigration,In Progress,
,6.3,Consumer Price Index (CPI),MFDB,"100,000",6.3.1. Produce  four quarterly CPI reports,4,"Collect, compile and analyse quarterly CPI",Quarterly,i) Natural Disaster,Up to date,
,,,,,6.3.2. Internationla Price Comparasion (ICP),3,Collect prices for comparison with other regions,Quarter 1,ii) Over-load with Project (HIES),In Progress,
,,,,,6.3.3. Food Price Index,3,Draft review of the first report,Quarterly,iii) Over-load and timimg might not be sufficcient,In Progress,
,,,,,6.3.4. Auotomate CPI data collection using CAPI,1,Map out the process,Quarter 3,iv) Back up of files on individual drives or USBs,Not Yet Started,
,,,,,6.3.4. Develop Monthly CPI road Map,1,Map out the process,Quarter 4,,Not Yet Started,
,6.4,Quarterly Statistical Indicator (QSI),MFDB,,6.4.1. Produce 4 quarterly Statistical Indicators,4,"Collect, Compile and analyse the QSI",Quaterly,i) Natural Disaster,Up to date,
,,,,,6.4.2. Produce standard report layout with French translation,1,French translaion,Quarterly,ii) Government net work,Not Yet Started,
,,,,,"6.4.3. Improve the coverage of indicators in QSI, Vehicle registration, Building Permits",3,Collection of new indicators,30-Sep,iii) Non-response,Not Yet Started,
,6.5,National Accounts,MFDB,"500,000",6.5.1. Produce 2025 GDP Preliminary release,1,"Collect, compile and analyse annual GDP report",30-Sep,i) Natural Disaster,In Progress,
,,,,,6.5.2. Review and Finalize Agricultural Census Report and update baseline indicators in national accounts framework.,1,"Update Agricculture, forestry and fisheries base line data form Census results.",30-Sep,ii) Government net work,In Progress,
,,,,,6.5.3. Develop the Quarterly National Accounts (QNA) road Map,1,Develop the QNA framework,Quarter 4,"iii) Missing record, complete data set",Not Yet Started,
,6.6,Market Survey,MFDB,"50,000",6.6.1 Produce 4 Quarterly market survey report ,4,"Collect, compile and analyse MS report",Quarterly,i) Natural Disaster,Up to date,
,,,,,6.6.2 Review users needs for Market Survey Publication,1,Review publication for user needs,30-Jun,ii) Over-load with Project (HIES),Not Yet Started,
,,,,,6.6.3 Coordinate Data anonmaization of 2022 Agriculture census data,1,Share Data set with key Stake holder,30-Jun,iii) Avaliable of technical support,Not Yet Started,
,6.7,Business Registry System (SBR),MFDB,"50,000",6.7.1 An active Business registry system (SBR),1,"Collect, compile and update BR system",Quarterly,i) Natural Disaster,In Progress,
,,,,,"6.7.2.  Updating the SBR using Business licience, VAT and VFSC registration.",1,,Quarterly,ii) Delay in response from data providers,In Progress,
,,,,,"6.7.3 Classification of VanSIC/ISIC, IU and Legal states",1,"Classification of Industies, Institutional units and legal states",Quarterly,iii) Back up of files on individual drives or USBs,In Progress,
,6.8,Standard Operating Procedure of regular releases,MFDB,"50,000","6.8.1 Produce SOPs and documentation for regular releases (IAS, IMTS, MS, CPI, QSI, GDP)",1,Finalize submit the SOP to signed by CS,30-Nov,i) SOP can be generic and flexible for further revision for time.,In Progress,
,6.9,Training and Capacity building,MFDB,"50,000",6.9.1 Conduct 1 in-house R-refresher training,3,On the job training,Quarterly,"i) Hand on with the existing system - IVA, IMTS, CPI",In Progress,
,,,,,6.9.2  GDP Methodological changes and new system development,2,Going through the system with the NA team,Quarterly,ii) In-house training on the new National Accounts system,In Progress,
,6.10,Labour Force Tracker,MFDB,,6.10.1 Develop a quarterly labour force publication using administrative data from VNPF,1,Data access from key stakeholders,30-Jun,i) Delay in accessing the require administrative records ,Not Yet Started,
,6.11,HIES 2026-2027 support Project Team,MFDB,,6.11.1 Training of trainers and interviewers,1,Prepare training materials,15-Feb,i) Natural Disaster,Complete,
,,,,,6.11.2 Finalize Training Manual,1,Prepare the Manual on time,20-Feb,ii) Proper Questionnaire pre-testing,Complete,
,,,,,6.11.3 Questionnaire translation,1,Coordinate with the translation team,20-Feb,iii) Any delay will affect the over all project duration,Complete,
,,,,,6.11.4 Training of Enumerators,1,Travelling logistic sort on time,10-Feb,,Complete,
,,,,,6.11.5 Logistical support,1,Clear communication,Quarterly,,In Progress,
,6.12,Membership to Macro-Economic Committee (MEC),MFDB,,6.12.1 Progress updated in meeting minutes,4,Provide all require data on time,Quarterly,Delay in reqular publication/data request,Up to date,
,6.13,Customer Service (Client request),MFDB,,6.13.1 90%  of request completed,Unlimted,Attempt to all data request,Monthly,Delay in responding,In Progress,
,TOTAL BUDGET,,,"1,000,000",,,,,,,